Time,level (cm),flow (l/h)
26-02-2026 08:11,0.65,0
26-02-2026 08:11,0.662,0
26-02-2026 08:11,0.677,0
26-02-2026 08:11,0.654,0
26-02-2026 08:11,0.647,0
26-02-2026 08:11,0.658,0
26-02-2026 08:11,0.703,0.075
26-02-2026 08:11,0.669,0.0375
26-02-2026 08:11,0.673,0
26-02-2026 08:11,0.692,0
26-02-2026 08:11,0.729,0
26-02-2026 08:11,0.658,0.0375
26-02-2026 08:11,0.65,0.0375
26-02-2026 08:11,0.654,0
26-02-2026 08:12,0.665,0.0375
26-02-2026 08:12,0.643,0.113
26-02-2026 08:12,0.662,0
26-02-2026 08:12,0.665,0.075
26-02-2026 08:12,0.643,0.075
26-02-2026 08:12,0.65,0
26-02-2026 08:12,0.695,0
26-02-2026 08:12,0.658,0.15
26-02-2026 08:12,0.677,0
26-02-2026 08:12,0.718,0
26-02-2026 08:12,0.711,0
26-02-2026 08:12,0.714,0
26-02-2026 08:12,0.718,0
26-02-2026 08:12,0.707,0
26-02-2026 08:12,0.711,0.075
26-02-2026 08:12,0.714,0.0375
26-02-2026 08:12,0.665,0
26-02-2026 08:12,0.658,0
26-02-2026 08:12,0.673,0
26-02-2026 08:12,0.68,0.0375
26-02-2026 08:12,0.718,0.0375
26-02-2026 08:12,0.68,0.0375
26-02-2026 08:12,0.692,0
26-02-2026 08:12,0.654,0.0375
26-02-2026 08:12,0.658,0
26-02-2026 08:12,0.662,0
26-02-2026 08:12,0.647,0
26-02-2026 08:12,0.714,0
26-02-2026 08:12,0.654,0.075
26-02-2026 08:12,0.68,0
26-02-2026 08:12,0.692,0
26-02-2026 08:12,0.665,0
26-02-2026 08:12,0.677,0
26-02-2026 08:12,0.669,0.113
26-02-2026 08:12,0.68,0
26-02-2026 08:12,0.714,0
26-02-2026 08:12,0.654,0.0375
26-02-2026 08:12,0.665,0
26-02-2026 08:12,0.65,0
26-02-2026 08:12,0.711,0
26-02-2026 08:12,0.673,0
26-02-2026 08:12,0.654,0.075
26-02-2026 08:12,0.665,0
26-02-2026 08:12,0.662,0.075
26-02-2026 08:12,0.718,0
26-02-2026 08:12,0.775,0.0375
26-02-2026 08:12,0.722,0
26-02-2026 08:12,0.711,0.075
26-02-2026 08:12,0.665,0
26-02-2026 08:12,0.662,0
26-02-2026 08:12,0.673,0.113
26-02-2026 08:12,0.65,0.0375
26-02-2026 08:12,0.756,0
26-02-2026 08:12,0.703,0.0375
26-02-2026 08:12,0.669,0
26-02-2026 08:12,0.65,0
26-02-2026 08:12,0.677,0.0375
26-02-2026 08:12,0.669,0.0375
26-02-2026 08:12,0.665,0
26-02-2026 08:13,0.707,0.075
26-02-2026 08:13,0.699,0
